x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	25	
5	28	
6	29	
7	35	
8	37	
9	40	
10	45	
11	45	
12	45	
13	48	
14	51	
15	52	
16	52	
17	52	
18	54	
19	54	
20	54	
21	70	
22	71	
23	79	
24	88	
25	111	
26	112	
27	112	
28	116	
29	116	
30	119	
31	120	
32	120	
33	122	
34	122	
35	123	
36	123	
37	123	
38	127	
39	127	
40	127	
41	129	
42	129	
43	135	
44	135	
45	135	
46	138	
47	138	
48	139	
49	140	
50	140	
51	150	
52	162	
53	163	
54	163	
55	166	
56	166	
57	173	
58	173	
59	174	
60	177	
61	180	
62	184	
63	184	
64	188	
65	189	
66	190	
67	193	
68	194	
69	196	
70	196	
71	197	20.63
72	197	
73	198	
74	198	
75	198	
76	198	10.41
77	196	
78	197	
79	197	
80	204	
81	204	23.79
82	202	
83	201	
84	201	
85	204	
86	206	20.91
87	201	
88	199	
89	201	
90	202	
91	209	21.51
92	204	
93	205	
94	206	
95	207	
96	211	19.74
97	212	
98	211	
99	215	
100	215	
101	231	19.74
102	234	
103	236	
104	230	
105	229	
106	236	28.01
107	231	
108	230	
109	233	
110	235	
111	240	29.71
112	237	
113	237	
114	239	
115	241	
116	248	30.11
117	249	
118	251	
119	251	
120	253	
121	252	32.81
122	256	
123	258	
124	248	
125	247	
126	249	33.41
127	248	
128	252	
129	250	
130	248	
131	258	36.11
132	259	
133	261	
134	255	
135	255	
136	254	41.81
137	253	
138	249	
139	255	
140	253	
141	258	41.71
142	257	
143	257	
144	261	
145	262	
146	263	39.81
147	265	
148	262	
149	258	
150	259	
151	257	46.11
152	259	
153	259	
154	265	
155	266	
156	268	43.04
157	272	
158	273	
159	273	
160	273	
161	274	23.6
162	275	
163	288	
164	289	
165	288	
166	286	31.9
167	286	
168	291	
169	288	
170	290	
171	294	42.76
172	294	
173	304	
174	300	
175	303	
176	302	47.66
177	303	
178	305	
179	305	
180	303	
181	308	39.96
182	307	
183	313	
184	314	
185	308	
186	313	27.82
187	315	
188	316	
189	312	
190	311	
191	313	27.82
192	322	
193	325	
194	324	
195	326	
196	325	26.44
197	328	
198	334	
199	341	
200	340	
201	340	30.03
202	343	
203	342	
204	343	
205	344	
