segment	start	stop	type
snake32_L6	1	6911	S
snake32_L6	1	19	E
snake32_L6	6824	627	L
snake32_L6	119	475	Z
snake32_L3	1	6872	S
snake32_L3	1	19	E
snake32_L3	6812	612	L
snake32_L3	120	479	Z
snake32_L18	1	6862	S
snake32_L18	6842	612	L
snake32_L18	120	461	Z
snake32_L18	1	19	E
snake32_L21	1	6811	S
snake32_L21	6732	511	L
snake32_L21	25	372	Z
snake32_L15	1	7012	S
snake32_L15	6967	773	L
snake32_L15	238	585	Z
snake32_L5	1	6900	S
snake32_L5	117	473	Z
snake32_L5	6805	605	L
snake32_L23	1	6854	S
snake32_L23	6816	556	L
snake32_L23	110	454	Z
snake32_L23	1	19	E
snake32_S6	1	3469	S
snake32_S6	3397	1622	NP
snake32_S6	173	1462	GPC
snake32_S6	1	19	E
snake19_L18	1	6868	S
snake19_L18	4	18	PE
snake19_L18	6840	610	L
snake19_L18	119	460	Z
snake19_S9	1	3405	S
snake19_S9	3329	1587	NP
snake19_S9	94	1338	GPC
snake19_S9	1	19	E
snake19_S9	3405	3387	E
snake28_L6	1	6874	S
snake28_L6	6808	611	L
snake28_L6	103	459	Z
snake28_L18	1	6866	S
snake28_L18	6819	592	L
snake28_L18	119	460	Z
snake28_L18	4	18	PE
snake28_L21	1	6967	S
snake28_L21	6870	649	L
snake28_L21	163	510	Z
snake28_L5	1	6900	S
snake28_L5	117	473	Z
snake28_L5	6805	605	L
snake28_L11	1	6914	S
snake28_L11	6856	614	L
snake28_L11	118	465	Z
snake28_L11	1	19	E
snake28_L22	1	7201	S
snake28_L22	581	685	PZ
snake28_L22	578	579	RJ
snake28_L22	7074	853	L
snake28_L22	86	427	Z
snake28_L2	1	6944	S
snake28_L2	6839	639	L
snake28_L2	121	474	Z
snake28_L2	1	19	E
snake28_L2	6928	6914	PE
snake28_S6	1	3476	S
snake28_S6	3394	1619	NP
snake28_S6	173	1459	GPC
snake28_S6	1	19	E
snake28_S6	3475	3467	PE
snake24_L12	1	6949	S
snake24_L12	1	19	E
snake24_L12	6949	6931	E
snake24_L12	6841	614	L
snake24_L12	133	480	Z
snake24_L12	585	586	RJ
snake24_L10	1	7052	S
snake24_L10	651	652	RJ
snake24_L10	6931	710	L
snake24_L10	115	465	Z
snake24_L10	7052	7034	E
snake24_L2	1	6926	S
snake24_L2	6839	639	L
snake24_L2	121	474	Z
snake24_L2	1	19	E
snake24_L2	6922	6914	PE
snake24_S6	1	3487	S
snake24_S6	3396	1621	NP
snake24_S6	170	1459	GPC
snake24_S6	1	19	E
snake24_S6	3487	3469	E
snake10_L3	1	6900	S
snake10_L3	6812	612	L
snake10_L3	120	479	Z
snake10_L3	1	19	E
snake10_L3	6895	6887	PE
snake10_S6	1	3482	S
snake10_S6	3397	1622	NP
snake10_S6	155	1462	GPC
snake10_S6	1	19	E
snake10_S6	3478	3470	PE
snake29_L6	1	6911	S
snake29_L6	6824	627	L
snake29_L6	119	475	Z
snake29_L6	1	19	E
snake29_L6	6911	6893	E
snake29_L18	1	6920	S
snake29_L18	4	18	PE
snake29_L18	6835	608	L
snake29_L18	119	460	Z
snake29_L5	1	6900	S
snake29_L5	117	473	Z
snake29_L5	6805	605	L
snake29_L11	1	6926	S
snake29_L11	6856	614	L
snake29_L11	118	465	Z
snake29_L11	1	19	E
snake29_L11	6921	6913	PE
snake29_S6	1	3468	S
snake29_S6	3394	1619	NP
snake29_S6	173	1459	GPC
snake29_S6	1	19	E
snake11_L3	1	6905	S
snake11_L3	6812	612	L
snake11_L3	120	479	Z
snake11_L3	1	19	E
snake11_L3	6905	6887	E
snake11_S6	1	3471	S
snake11_S6	3397	1622	NP
snake11_S6	173	1462	GPC
snake11_S6	1	19	E
snake30_L18	1	6923	S
snake30_L18	1	15	PE
snake30_L18	6838	608	L
snake30_L18	116	457	Z
snake30_L5	1	6900	S
snake30_L5	117	473	Z
snake30_L5	6805	605	L
snake30_L11	1	6931	S
snake30_L11	6856	614	L
snake30_L11	118	465	Z
snake30_L11	1	19	E
snake30_L11	6931	6913	E
snake30_L22	1	7331	S
snake30_L22	615	719	PZ
snake30_L22	612	613	RJ
snake30_L22	1	19	E
snake30_L22	7108	887	L
snake30_L22	120	461	Z
snake30_L2	1	6944	S
snake30_L2	6839	639	L
snake30_L2	121	474	Z
snake30_L2	1	19	E
snake30_L2	6928	6914	PE
snake30_S9	1	3369	S
snake30_S9	3325	1583	NP
snake30_S9	90	1334	GPC
snake30_S9	1	15	PE
snake30_S6	1	3491	S
snake30_S6	3400	1625	NP
snake30_S6	173	1465	GPC
snake30_S6	1	19	E
snake30_S6	3491	3473	E
snake31_L6	1	6901	S
snake31_L6	6896	6888	PE
snake31_L6	6819	622	L
snake31_L6	114	470	Z
snake31_L18	1	6920	S
snake31_L18	4	18	PE
snake31_L18	6835	608	L
snake31_L18	119	460	Z
snake31_L21	1	6926	S
snake31_L21	6868	647	L
snake31_L21	161	508	Z
snake31_L5	1	6921	S
snake31_L5	138	494	Z
snake31_L5	6826	626	L
snake31_L11	1	6930	S
snake31_L11	1	19	E
snake31_L11	6927	6913	PE
snake31_L11	6856	614	L
snake31_L11	118	465	Z
snake31_L22	1	7229	S
snake31_L22	611	714	PZ
snake31_L22	608	609	RJ
snake31_L22	7103	882	L
snake31_L22	116	457	Z
snake31_L22	1	15	PE
snake31_L2	1	6912	S
snake31_L2	6839	639	L
snake31_L2	121	474	Z
snake31_L2	1	19	E
snake31_S6	1	3485	S
snake31_S6	3394	1619	NP
snake31_S6	173	1459	GPC
snake31_S6	1	19	E
