x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	4	
5	6	
6	6	
7	6	
8	6	
9	6	
10	6	
11	6	
12	6	
13	6	
14	7	
15	7	
16	7	
17	8	
18	14	
19	14	
20	18	
21	23	
22	23	
23	31	
24	34	
25	34	
26	34	
27	35	
28	39	
29	39	
30	43	
31	43	
32	44	
33	45	
34	45	
35	47	
36	49	
37	49	
38	49	
39	48	
40	48	
41	48	
42	48	
43	49	
44	49	
45	50	
46	51	
47	51	
48	51	
49	51	
50	51	
51	51	
52	51	
53	51	
54	51	
55	52	
56	52	
57	53	
58	54	
59	55	
60	55	
61	55	
62	55	
63	55	
64	55	
65	55	
66	55	
67	56	
68	56	
69	56	
70	57	
71	57	24.08
72	58	
73	58	
74	59	
75	59	
76	67	24.08
77	67	
78	67	
79	69	
80	69	
81	69	22.18
82	69	
83	69	
84	69	
85	69	
86	73	21.68
87	73	
88	74	
89	74	
90	74	
91	74	28.08
92	72	
93	71	
94	73	
95	73	
96	73	28.08
97	74	
98	72	
99	73	
100	73	
101	71	28.08
102	70	
103	70	
104	71	
105	71	
106	71	34.5
107	69	
108	70	
109	68	
110	67	
111	68	34.5
112	69	
113	69	
114	69	
115	68	
116	66	34.2
117	62	
118	63	
119	60	
120	60	
121	60	31.7
122	60	
123	64	
124	63	
125	62	
126	62	31.7
127	62	
128	62	
129	62	
130	62	
131	61	31.7
132	60	
133	60	
134	60	
135	58	
136	57	31.7
137	57	
138	57	
139	56	
140	56	
141	56	31.7
142	60	
143	58	
144	61	
145	61	
146	60	31.7
147	54	
148	54	
149	55	
150	56	
151	56	26.7
152	56	
153	57	
154	59	
155	58	
156	57	15.3
157	57	
158	57	
159	58	
160	57	
161	57	15.89
162	57	
163	57	
164	59	
165	54	
166	57	21.01
167	58	
168	58	
169	59	
170	60	
171	60	19.79
172	66	
173	66	
174	66	
175	61	
176	63	21.19
177	63	
178	64	
179	64	
180	64	
181	64	23.69
182	67	
183	65	
184	69	
185	73	
186	74	29.49
187	80	
188	80	
189	80	
190	76	
191	77	29.49
192	80	
193	84	
194	84	
195	84	
196	88	29.49
197	89	
198	90	
199	88	
200	88	
201	89	29.49
202	91	
203	91	
204	101	
205	102	
