x	coverage	secondary_structure
1	0	
2	0	
3	0	
4	2	
5	2	
6	3	
7	4	
8	5	
9	7	
10	7	
11	7	
12	8	
13	8	
14	9	
15	10	
16	10	
17	12	
18	12	
19	12	
20	12	
21	12	
22	12	
23	12	
24	13	
25	15	
26	16	
27	16	
28	17	
29	17	
30	17	
31	18	
32	18	
33	23	
34	23	
35	23	
36	23	
37	23	
38	24	
39	25	
40	25	
41	26	
42	26	
43	26	
44	27	
45	27	
46	27	
47	27	
48	27	
49	29	
50	29	
51	29	
52	29	
53	29	
54	29	
55	29	
56	29	
57	29	
58	29	
59	29	
60	30	
61	32	
62	34	
63	34	
64	34	
65	34	
66	34	
67	37	
68	38	
69	40	
70	40	
71	41	24.96
72	41	
73	41	
74	41	
75	41	
76	41	21.99
77	40	
78	41	
79	41	
80	41	
81	42	23.5
82	43	
83	44	
84	44	
85	45	
86	47	22.64
87	47	
88	47	
89	47	
90	48	
91	49	22.64
92	49	
93	49	
94	49	
95	51	
96	51	24.31
97	51	
98	52	
99	52	
100	52	
101	52	24.31
102	52	
103	52	
104	52	
105	52	
106	52	24.31
107	54	
108	54	
109	54	
110	57	
111	57	21.74
112	62	
113	62	
114	62	
115	63	
116	63	21.74
117	64	
118	63	
119	64	
120	64	
121	65	23.61
122	67	
123	68	
124	70	
125	72	
126	76	33.2
127	76	
128	76	
129	80	
130	80	
131	80	23.6
132	79	
133	78	
134	77	
135	77	
136	76	25.03
137	75	
138	75	
139	75	
140	75	
141	77	31.9
142	74	
143	75	
144	79	
145	79	
146	79	31.6
147	78	
148	78	
149	78	
150	78	
151	77	34.7
152	77	
153	80	
154	76	
155	75	
156	77	31.1
157	77	
158	77	
159	77	
160	77	
161	77	27.4
162	78	
163	78	
164	79	
165	79	
166	80	24.5
167	80	
168	81	
169	80	
170	78	
171	87	23.1
172	86	
173	86	
174	88	
175	92	
176	92	15.59
177	92	
178	93	
179	95	
180	96	
181	96	29.9
182	96	
183	96	
184	96	
185	96	
186	98	33.3
187	98	
188	99	
189	99	
190	98	
191	97	29.4
192	99	
193	99	
194	99	
195	99	
196	99	30.42
197	99	
198	99	
199	99	
200	100	
201	100	26.4
202	100	
203	100	
204	99	
205	99	
